iter	Passed	Remaining
398	59968	45239
399	60252	45189
400	60503	45113
401	60783	45058
402	61077	45012
403	61370	44964
404	61632	44892
405	61881	44810
406	62146	44739
407	62410	44666
408	62763	44656
409	63038	44588
410	63313	44519
411	63569	44436
412	63848	44369
413	64120	44296
414	64388	44218
415	64652	44137
416	64917	44056
417	65179	43972
418	65347	43824
419	65633	43755
420	65863	43648
421	66132	43566
422	66402	43483
423	66669	43398
424	66941	43314
425	67384	43341
426	67660	43258
427	67918	43162
428	68423	43223
429	68846	43229
430	69088	43119
431	69382	43043
432	69768	43021
433	69973	42886
434	70303	42828
435	70676	42795
436	70967	42710
437	71251	42620
438	71836	42708
439	72109	42610
440	72391	42515
441	72700	42436
442	72965	42329
443	73229	42222
444	73539	42140
445	73808	42034
446	74107	41944
447	74591	41957
448	74927	41885
449	75417	41898
450	75720	41805
451	76008	41703
452	76303	41604
453	76616	41514
454	76901	41408
455	77273	41347
456	77601	41262
457	77890	41156
458	78161	41039
459	78432	40921
460	78770	40837
461	79030	40712
462	79302	40593
463	79617	40494
464	79856	40357
465	80142	40243
466	80451	40139
467	80718	40014
468	80984	39887
469	81267	39769
470	81529	39639
471	81887	39555
472	82076	39389
473	82355	39266
474	82699	39173
475	82993	39055
476	83251	38920
477	83513	38786
478	83671	38603
479	84040	38518
480	84374	38415
481	84703	38309
482	84878	38133
483	85179	38014
484	85525	37913
485	85796	37778
486	86129	37670
487	86419	37542
488	86679	37401
489	87050	37307
490	87336	37175
491	87687	37070
492	87978	36940
493	88247	36799
494	88626	36703
495	89017	36612
496	89318	36482
497	89595	36342
498	89991	36249
499	90251	36100
500	90637	36001
501	90943	35870
502	91229	35729
503	91512	35588
504	91919	35493
505	92198	35348
506	92658	35272
507	92945	35128
508	93227	34983
509	93504	34834
510	93795	34691
511	94073	34542
512	94404	34412
513	94749	34286
514	95239	34212
515	95507	34057
516	95940	33959
517	96296	33833
518	96734	33735
519	97055	33596
520	97301	33430
521	97539	33260
522	97656	33050
523	97767	32838
524	97872	32624
525	97978	32411
526	98082	32197
527	98185	31984
528	98281	31769
529	98388	31558
530	98496	31348
531	98596	31135
532	98698	30924
533	98800	30713
534	98903	30502
535	99012	30294
536	99108	30083
537	99200	29870
538	99297	29660
539	99394	29450
540	99496	29242
541	99609	29037
542	99705	28828
543	99805	28620
544	99898	28411
545	100003	28206
546	100098	27998
547	100197	27791
548	100291	27584
549	100396	27380
550	100494	27175
551	100595	26971
552	100696	26767
553	100804	26565
554	100915	26365
555	101058	26173
556	101183	25977
557	101296	25777
558	101410	25579
559	101504	25376
560	101603	25174
561	101696	24971
562	101790	24769
563	101882	24567
564	101976	24366
565	102067	24164
566	102152	23961
567	102241	23760
568	102335	23560
569	102424	23360
570	102514	23159
571	102607	22961
572	102702	22762
573	102793	22564
574	102885	22366
575	102969	22167
576	103059	21969
577	103143	21770
578	103233	21573
579	103320	21376
580	103411	21180
581	103498	20984
582	103589	20788
583	103686	20595
584	103787	20402
585	103890	20210
586	103990	20018
587	104100	19828
588	104196	19636
589	104300	19445
590	104405	19255
591	104516	19067
592	104653	18883
593	104763	18695
594	104877	18507
595	104980	18318
596	105071	18127
597	105168	17938
598	105268	17749
599	105368	17561
600	105486	17376
601	105614	17192
602	105733	17008
603	105856	16824
604	105968	16639
605	106096	16457
606	106213	16273
607	106312	16086
608	106420	15901
609	106564	15722
610	106696	15541
611	106802	15357
612	106902	15172
613	107001	14987
614	107105	14803
615	107206	14619
616	107304	14434
617	107403	14250
618	107500	14067
619	107607	13884
620	107720	13703
621	107830	13522
622	107943	13341
623	108042	13158
624	108137	12976
625	108233	12794
626	108332	12612
627	108428	12431
628	108518	12249
629	108612	12068
630	108707	11887
631	108800	11706
632	108896	11526
633	108985	11345
634	109077	11165
635	109174	10986
636	109276	10807
637	109373	10628
638	109466	10449
639	109599	10274
640	109708	10097
641	109824	9921
642	109940	9745
643	110037	9568
644	110141	9391
645	110239	9215
646	110340	9038
647	110430	8861
648	110525	8685
649	110624	8509
650	110728	8334
651	110843	8160
652	110995	7988
653	111092	7813
654	111199	7639
655	111295	7464
656	111398	7290
657	111489	7116
658	111581	6942
659	111679	6768
660	111768	6594
661	111872	6421
662	111999	6250
663	112087	6077
664	112205	5905
665	112313	5733
666	112404	5561
667	112524	5390
668	112639	5219
669	112740	5048
670	112851	4877
671	112978	4707
672	113070	4536
673	113158	4365
674	113251	4194
675	113348	4024
676	113437	3853
677	113534	3684
678	113636	3514
679	113742	3345
680	113847	3176
681	113953	3007
682	114045	2838
683	114138	2669
684	114223	2501
685	114324	2333
686	114416	2165
687	114512	1997
688	114613	1829
689	114742	1662
690	114834	1495
691	114923	1328
692	115018	1161
693	115113	995
694	115204	828
695	115300	662
696	115406	496
697	115498	330
698	115603	165
699	115697	0
