iter	F1	Logloss
0	0.8710406367	0.2849816582
1	0.8760040639	0.14026101
2	0.8796813763	0.09132960173
3	0.8820022703	0.07319999612
4	0.8831016034	0.06538658654
5	0.8836832319	0.06160174609
6	0.8844009594	0.05928460052
7	0.8845985848	0.05772380778
8	0.8850186403	0.05666754562
9	0.8851622137	0.05530599511
10	0.8855383882	0.05469931785
11	0.886006046	0.05425050502
12	0.8862613774	0.05380446526
13	0.8861593151	0.05348889618
14	0.8865902451	0.05291170941
15	0.8866198749	0.05266660278
16	0.8867113987	0.05235198079
17	0.8868982386	0.05208683854
18	0.8873338999	0.05189883256
19	0.8874378406	0.05170569412
20	0.8875445179	0.05156937624
21	0.8878322612	0.0514065709
22	0.8879373468	0.05127326404
23	0.8882099266	0.05115236411
24	0.8885636796	0.05102362073
25	0.8886219351	0.05091143899
26	0.8886023354	0.05081887222
27	0.8889808719	0.05073147847
28	0.8890745604	0.05068339146
29	0.8892159593	0.05059163358
30	0.8893681019	0.05050231697
31	0.889596434	0.05040282424
32	0.8895944742	0.05032650956
33	0.8897094518	0.05025711868
34	0.8900540222	0.05018300749
35	0.8900594381	0.05011397166
36	0.8901195961	0.05007281633
37	0.8902316695	0.05000042305
38	0.8905325679	0.04993910447
39	0.8905811879	0.04987876314
40	0.8906363281	0.04981240954
41	0.8907194812	0.04975501088
42	0.8907692921	0.0496851063
43	0.8909764551	0.04963351383
44	0.8910861113	0.04957174355
45	0.891109305	0.04953644901
46	0.8909043092	0.04949626146
47	0.8909983581	0.04944350602
48	0.8909986608	0.04940572689
49	0.8911227321	0.0493635588
50	0.8912719358	0.04928122951
51	0.891392936	0.04922721761
52	0.8914376869	0.04919886361
53	0.8915889491	0.04913574447
54	0.891722388	0.04911121667
55	0.8918683809	0.04907217067
56	0.8920665826	0.0490311132
57	0.8920797848	0.04896670792
58	0.8922344977	0.04891466274
59	0.8923727799	0.04888182003
60	0.8925069469	0.04881054392
61	0.8926150382	0.04876077784
62	0.892661774	0.04873696269
63	0.892935004	0.04869209143
64	0.8932043488	0.04862382748
65	0.8932380077	0.04859195851
66	0.8933912821	0.04855161099
67	0.8935616077	0.04849754606
68	0.8936476229	0.04846430734
69	0.8937867104	0.04841053221
70	0.893860196	0.04835557184
71	0.8939558682	0.04832354168
72	0.8940134172	0.04830412276
73	0.8941311945	0.04825376634
74	0.8942064685	0.04821969136
75	0.8943642254	0.04817749034
76	0.8945604083	0.04813061469
77	0.8945945081	0.04809831112
78	0.8946252391	0.04807285844
79	0.8947414752	0.04803679282
80	0.8947953932	0.04801239904
81	0.8949209526	0.04797681862
82	0.8950174517	0.04793849019
83	0.8950760093	0.04789846872
84	0.8951130678	0.04786068845
85	0.8951287471	0.04783769671
86	0.8951430813	0.04779611873
87	0.8952333664	0.04774794495
88	0.8953557296	0.04770797781
89	0.8954253078	0.04767999755
90	0.895469546	0.04766122788
91	0.8956574669	0.0476257797
92	0.8956773165	0.04760996088
93	0.8958440144	0.04754287398
94	0.8959191194	0.04748804526
95	0.8960715344	0.04745720697
96	0.8963307162	0.04740468536
97	0.8963268576	0.04737741643
98	0.8963345752	0.04735437224
99	0.896518569	0.04729156514
100	0.8966544895	0.04725033949
101	0.8967501042	0.04721759099
102	0.896721364	0.04719813174
103	0.8968468288	0.04716804039
104	0.8969324957	0.0471391501
105	0.8970082627	0.04710635259
106	0.8970569377	0.04707888613
107	0.8972140939	0.04703731659
108	0.8972654903	0.04700484263
109	0.897329196	0.04697906831
110	0.8973596222	0.04693804558
111	0.8974735205	0.04691089655
112	0.8976096352	0.04687979871
113	0.8977009374	0.04686353466
114	0.8977961698	0.04683550437
115	0.8979307026	0.04677580561
116	0.8979228487	0.04674837286
117	0.8979307026	0.04672429296
118	0.8980413545	0.04668157819
119	0.8982623903	0.04665184523
120	0.8983321433	0.04663337805
121	0.8984467764	0.04659546949
122	0.8984779312	0.04657362489
123	0.8985693309	0.04654689219
124	0.8987007568	0.04650630693
125	0.8987672948	0.04647798561
